,Unnamed: 0,user,date,content,user_location,tweets,tweet_status
0,0,"{'username': 'LatebirdVeloz', 'id': 2545627424, 'displayname': 'Sergio Veloz', 'description': 'This art of mine is an empire of smoke.', 'rawDescription': 'This art of mine is an empire of smoke.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 6, 4, 9, 17, 5, tzinfo=datetime.timezone.utc), 'followersCount': 1566, 'friendsCount': 1394, 'statusesCount': 22877, 'favouritesCount': 59927, 'listedCount': 12, 'mediaCount': 786, 'location': 'Riviera Maya / CDMX ???ý???« ????', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1420243784797982721/cuhLz3J2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2545627424/1604658601', 'label': None}",2019-01-07 23:58:19+00:00,@GoDaddy go to hell Bob Parsons you spineless fuck. Stop cowardly shooting animals!!,Riviera Maya / CDMX ???ý???« ????,@user go to hell Bob Parsons you spineless fuck. Stop cowardly shooting animals!!,"[('Negative', 0.97686017), ('Neutral', 0.020335883), ('Positive', 0.0028038644)]"
1,1,"{'username': 'bonnieaskowitz', 'id': 2490097364, 'displayname': 'biden rocks', 'description': '???§???????§???????§???????§???????§???? striving artist, I want a decent future for my kids. ????lover #savethebees and the ?? #stillwithher #ratifyERA #justiceforSandraBland', 'rawDescription': '???§???????§???????§???????§???????§???? striving artist, I want a decent future for my kids. ????lover #savethebees and the ?? #stillwithher #ratifyERA #justiceforSandraBland', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2014, 5, 11, 16, 27, 45, tzinfo=datetime.timezone.utc), 'followersCount': 370, 'friendsCount': 336, 'statusesCount': 8546, 'favouritesCount': 18374, 'listedCount': 2, 'mediaCount': 170, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1295937411839676417/x9QSE_iL_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2490097364/1399826499', 'label': None}",2019-01-07 23:57:11+00:00,@hullboydan Thanks. Now how do I fire GoDaddy?,,@user Thanks. Now how do I fire GoDaddy?,"[('Negative', 0.35626173), ('Neutral', 0.56844103), ('Positive', 0.07529731)]"
2,2,"{'username': 'ANDREAG13353939', 'id': 879078538493665280, 'displayname': 'ANDREA GAINES', 'description': ""I'm a very Blessed Mom and Grandma, Ministering the Hope and Light of Jesus Christ!\n??RIP ????Don????"", 'rawDescription': ""I'm a very Blessed Mom and Grandma, Ministering the Hope and Light of Jesus Christ!\n??RIP ????Don????"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 6, 25, 20, 47, 10, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 30, 'statusesCount': 579, 'favouritesCount': 147, 'listedCount': 0, 'mediaCount': 67, 'location': 'Colorado, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1509575209786830853/bXJ9ezlZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/879078538493665280/1648745754', 'label': None}",2019-01-07 23:56:23+00:00,Proudly presenting https://t.co/CYm5KyZBPk. Check it out and let me know what you think! none #GoDaddy #GoCentral via @GoDaddy,"Colorado, USA",Proudly presenting http Check it out and let me know what you think! none #GoDaddy #GoCentral via @user,"[('Negative', 0.000984594), ('Neutral', 0.04821896), ('Positive', 0.9507964)]"
3,3,"{'username': 'GirlsinTech', 'id': 16014840, 'displayname': 'Girls in Tech', 'description': 'We aim to see every person accepted, confident and valued in tech ?? just as they are. Tech needs you. Just as you are.', 'rawDescription': 'We aim to see every person accepted, confident and valued in tech ?? just as they are. Tech needs you. Just as you are.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 8, 27, 17, 53, 4, tzinfo=datetime.timezone.utc), 'followersCount': 201751, 'friendsCount': 3777, 'statusesCount': 14127, 'favouritesCount': 2565, 'listedCount': 2795, 'mediaCount': 3215, 'location': 'Global', 'protected': False, 'linkUrl': 'http://www.girlsintech.org', 'linkTcourl': 'http://t.co/OYg0dHWOmf', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1252090257429991424/SnYrNPD0_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/16014840/1632917851', 'label': None}",2019-01-07 23:52:07+00:00,"So you want to be your own boss? You don??t need to go to biz school to be an #entrepreneur. Join @GirlsInTechPHX + @GoDaddy for a 2-day #bootcamp, Jan 26-27 @ GoDaddy Tempe!  Hurry up, sign up for our #StartupBreakthroughs #GITBOOTCAMP here ????https://t.co/uZqGaomJKJ https://t.co/7sBlMXlkKQ",Global,"So you want to be your own boss? You don??t need to go to biz school to be an #entrepreneur. Join @user + @user for a 2-day #bootcamp, Jan 26-27 @ GoDaddy Tempe!  Hurry up, sign up for our #StartupBreakthroughs #GITBOOTCAMP here ????https://t.co/uZqGaomJKJ http","[('Negative', 0.0071990895), ('Neutral', 0.2645413), ('Positive', 0.7282596)]"
4,4,"{'username': 'mark_callwood', 'id': 905745179260448768, 'displayname': 'Mark Callwood', 'description': ""The church of Will Ferrell, life's dreamer, love Spurs, student of Charles Bukowski and related to BVI Buccaneer Richard Callwood Sr. Three sheets to the wind."", 'rawDescription': ""The church of Will Ferrell, life's dreamer, love Spurs, student of Charles Bukowski and related to BVI Buccaneer Richard Callwood Sr. Three sheets to the wind."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 9, 7, 10, 50, 53, tzinfo=datetime.timezone.utc), 'followersCount': 33, 'friendsCount': 178, 'statusesCount': 976, 'favouritesCount': 2858, 'listedCount': 0, 'mediaCount': 288, 'location': 'Surrey', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/995241545723994112/9Cn8MkK4_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/905745179260448768/1550144785', 'label': None}",2019-01-07 23:46:48+00:00,"For every cunty elephant killing #GoDaddy Bob Parsons, there are hundreds of fantastic people like Mike ?????
#Kylethegoose https://t.co/rABoJDZ7o9",Surrey,"For every cunty elephant killing #GoDaddy Bob Parsons, there are hundreds of fantastic people like Mike ?????
#Kylethegoose http","[('Negative', 0.2751866), ('Neutral', 0.41701707), ('Positive', 0.30779633)]"
5,5,"{'username': 'MccrelessTravis', 'id': 1071502878861418497, 'displayname': 'Travis Mccreless', 'description': 'worked for an art gallery called Mackinaw Art Marketplace but now im headed back to mackinaw city to work for the hotels there.', 'rawDescription': 'worked for an art gallery called Mackinaw Art Marketplace but now im headed back to mackinaw city to work for the hotels there.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 12, 8, 20, 32, 48, tzinfo=datetime.timezone.utc), 'followersCount': 5, 'friendsCount': 25, 'statusesCount': 7, 'favouritesCount': 14, 'listedCount': 0, 'mediaCount': 1, 'location': 'Mackinaw city, michigan ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1074087600326131712/Ue3RN6rj_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019-01-07 23:44:10+00:00,Proudly presenting https://t.co/EeTt0jt3B4. Check it out and let me know what you think! #GoDaddy #GoCentral via @GoDaddy,"Mackinaw city, michigan ",Proudly presenting http Check it out and let me know what you think! #GoDaddy #GoCentral via @user,"[('Negative', 0.0008577448), ('Neutral', 0.03791244), ('Positive', 0.96122986)]"
6,6,"{'username': 'joeczucha', 'id': 21409392, 'displayname': 'Joe Czucha', 'description': ""Contract Software Engineer. Ruby on Rails and VueJS aficionado. Let's chat!"", 'rawDescription': ""Contract Software Engineer. Ruby on Rails and VueJS aficionado. Let's chat!"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 2, 20, 16, 19, 16, tzinfo=datetime.timezone.utc), 'followersCount': 459, 'friendsCount': 776, 'statusesCount': 3192, 'favouritesCount': 90, 'listedCount': 37, 'mediaCount': 93, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/634315767585054721/yQ52EZzK_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019-01-07 23:43:23+00:00,"@iamjeffperry @DanielCBerman @RosemaryOrchard @GR36 @webfaction @squidix GoDaddy have taken over WebFaction. They??re creating us all GoDaddy accounts so we can ??receive the full 
benefits of this new partnership?. Yipee! ????",,"@user @user @user @user @user @user GoDaddy have taken over WebFaction. They??re creating us all GoDaddy accounts so we can ??receive the full 
benefits of this new partnership?. Yipee! ????","[('Negative', 0.008015406), ('Neutral', 0.12834741), ('Positive', 0.8636371)]"
7,7,"{'username': 'joeczucha', 'id': 21409392, 'displayname': 'Joe Czucha', 'description': ""Contract Software Engineer. Ruby on Rails and VueJS aficionado. Let's chat!"", 'rawDescription': ""Contract Software Engineer. Ruby on Rails and VueJS aficionado. Let's chat!"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 2, 20, 16, 19, 16, tzinfo=datetime.timezone.utc), 'followersCount': 459, 'friendsCount': 776, 'statusesCount': 3192, 'favouritesCount': 90, 'listedCount': 37, 'mediaCount': 93, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/634315767585054721/yQ52EZzK_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019-01-07 23:32:35+00:00,"@bergus @webfaction @GoDaddy Very disappointing, ??web hosting for developers? merges with the online equivalent of a massive turd ????",,"@user @user @user Very disappointing, ??web hosting for developers? merges with the online equivalent of a massive turd ????","[('Negative', 0.971567), ('Neutral', 0.025567852), ('Positive', 0.0028652337)]"
8,8,"{'username': 'ichrs', 'id': 13260102, 'displayname': 'Chris', 'description': '???', 'rawDescription': '???', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 2, 8, 19, 23, 48, tzinfo=datetime.timezone.utc), 'followersCount': 43, 'friendsCount': 53, 'statusesCount': 8565, 'favouritesCount': 124, 'listedCount': 3, 'mediaCount': 199, 'location': 'Washington, USA', 'protected': False, 'linkUrl': 'http://ichrs.me', 'linkTcourl': 'https://t.co/ezwS237DrW', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/459068195467321344/rRFaoadX_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/13260102/1398285695', 'label': None}",2019-01-07 23:32:17+00:00,"Wtf @webfaction, I came to you running from godaddy!","Washington, USA",Wtf @user I came to you running from godaddy!,"[('Negative', 0.6768816), ('Neutral', 0.29957518), ('Positive', 0.023543138)]"
9,9,"{'username': 'malcaresecurity', 'id': 742608950160281600, 'displayname': 'MalCare', 'description': 'A #WordPress #Security Solution from @BlogVault with instant #malware removal. Discover threats in real-time, terminate bugs within 60 seconds + zero downtime???', 'rawDescription': 'A #WordPress #Security Solution from @BlogVault with instant #malware removal. Discover threats in real-time, terminate bugs within 60 seconds + zero downtime???', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 6, 14, 6, 45, 45, tzinfo=datetime.timezone.utc), 'followersCount': 534, 'friendsCount': 492, 'statusesCount': 1219, 'favouritesCount': 551, 'listedCount': 21, 'mediaCount': 710, 'location': 'World', 'protected': False, 'linkUrl': 'https://www.malcare.com', 'linkTcourl': 'https://t.co/zf5GCXFvRb', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/946379223970623489/97mfhf_-_normal.jpg', 'profileBannerUrl': None, 'label': None}",2019-01-07 23:31:12+00:00,Where to Start When GoDaddy Suspends Your Site? https://t.co/5MhoVOXdBu #GoDaddy #websitesecurity #Security #Malware https://t.co/CiwmZhR6kN,World,Where to Start When GoDaddy Suspends Your Site? http #GoDaddy #websitesecurity #Security #Malware http,"[('Negative', 0.45387167), ('Neutral', 0.49848327), ('Positive', 0.047645073)]"
