,RMSE
"(0, 0, 0)",81.36703681287632
"(0, 0, 1)",81.35332913050668
"(0, 1, 0)",127.38691893610208
"(0, 1, 1)",127.38185441116504
"(0, 2, 0)",127.29554657370758
"(0, 2, 1)",127.35272265670118
"(1, 0, 0)",81.376655789597
"(1, 0, 1)",81.3603828403293
"(1, 1, 0)",127.3853137112509
"(1, 1, 1)",127.25425954171952
"(1, 2, 0)",127.30030718461677
"(2, 0, 0)",81.3560522041641
"(2, 0, 1)",81.36047963763963
"(2, 1, 0)",127.3814403207911
"(2, 1, 1)",127.25991139404194
"(2, 2, 0)",127.33549429762074
"(3, 0, 0)",81.35964162549132
"(3, 0, 1)",81.35097256205539
"(3, 1, 0)",127.3765308611003
"(3, 1, 1)",127.25907353691915
"(3, 2, 0)",127.31176883609658
"(4, 0, 0)",81.35414617946483
"(4, 0, 1)",81.35296016344093
"(4, 1, 0)",127.38729159206405
"(4, 1, 1)",127.26168815427427
"(4, 2, 0)",127.35230403835942
"(5, 0, 0)",81.35832242825667
"(5, 0, 1)",81.35488669651899
"(5, 1, 0)",127.38010266439753
"(5, 1, 1)",127.26238322581112
"(5, 2, 0)",127.32610724644344
"(6, 0, 0)",81.35789560877812
"(6, 0, 1)",81.35741079933916
"(6, 1, 0)",127.40415751648358
"(6, 1, 1)",127.26250730562475
"(6, 2, 0)",127.4350911603938
"(6, 2, 1)",127.42054897034048
"(7, 0, 0)",81.36107114178955
"(7, 0, 1)",81.35603920381239
"(7, 1, 0)",127.38289259776572
"(7, 1, 1)",127.27110374826144
"(7, 2, 0)",127.44406182714806
"(7, 2, 1)",127.4252520664593
