Date,AdjCloseUSD
19/12/11,22.22
20/12/11,22.66
21/12/11,22.43
22/12/11,22.47
23/12/11,22.66
27/12/11,22.67
28/12/11,22.48
29/12/11,22.65
30/12/11,22.6
3/1/2012,23.3
4/1/2012,23.85
5/1/2012,24.1
6/1/2012,24.47
9/1/2012,24.15
10/1/2012,24.24
11/1/2012,24.13
12/1/2012,24.38
13/01/12,24.59
17/01/12,24.6
18/01/12,24.58
19/01/12,24.48
20/01/12,25.86
23/01/12,25.88
24/01/12,25.54
25/01/12,25.73
26/01/12,25.68
27/01/12,25.45
30/01/12,25.78
31/01/12,25.71
1/2/2012,26.02
2/2/2012,26.07
3/2/2012,26.33
6/2/2012,26.29
7/2/2012,26.42
8/2/2012,26.69
9/2/2012,26.79
10/2/2012,26.55
13/02/12,26.62
14/02/12,26.51
15/02/12,26.33
16/02/12,27.42
17/02/12,27.38
21/02/12,27.55
22/02/12,27.4
23/02/12,27.49
24/02/12,27.58
27/02/12,27.47
28/02/12,27.93
29/02/12,27.81
1/3/2012,28.29
2/3/2012,28.11
5/3/2012,27.87
6/3/2012,27.66
7/3/2012,27.9
8/3/2012,28.05
9/3/2012,28.03
12/3/2012,28.08
13/03/12,28.63
14/03/12,28.72
15/03/12,28.79
16/03/12,28.57
19/03/12,28.22
20/03/12,28.03
21/03/12,27.96
22/03/12,28.04
23/03/12,28.05
26/03/12,28.56
27/03/12,28.5
28/03/12,28.21
29/03/12,28.15
30/03/12,28.27
2/4/2012,28.29
3/4/2012,27.99
4/4/2012,27.35
5/4/2012,27.62
9/4/2012,27.25
10/4/2012,26.7
11/4/2012,26.59
12/4/2012,27.15
13/04/12,27
16/04/12,27.23
17/04/12,27.55
18/04/12,27.29
19/04/12,27.17
20/04/12,28.41
23/04/12,28.15
24/04/12,27.97
25/04/12,28.22
26/04/12,28.14
27/04/12,28.02
30/04/12,28.06
1/5/2012,28.05
2/5/2012,27.87
3/5/2012,27.83
4/5/2012,27.15
7/5/2012,26.86
8/5/2012,26.73
9/5/2012,26.95
10/5/2012,26.94
11/5/2012,27.3
14/05/12,26.88
15/05/12,26.65
16/05/12,26.37
17/05/12,26.21
18/05/12,25.82
21/05/12,26.24
22/05/12,26.25
23/05/12,25.68
24/05/12,25.64
25/05/12,25.63
29/05/12,26.07
30/05/12,25.88
31/05/12,25.75
1/6/2012,25.09
4/6/2012,25.18
5/6/2012,25.15
6/6/2012,25.89
7/6/2012,25.78
8/6/2012,26.15
11/6/2012,25.49
12/6/2012,25.83
13/06/12,25.69
14/06/12,25.88
15/06/12,26.48
18/06/12,26.32
19/06/12,27.08
20/06/12,27.28
21/06/12,26.58
22/06/12,27.08
25/06/12,26.35
26/06/12,26.48
27/06/12,26.61
28/06/12,26.38
29/06/12,26.98
2/7/2012,26.95
3/7/2012,27.13
5/7/2012,27.08
6/7/2012,26.63
9/7/2012,26.46
10/7/2012,26.23
11/7/2012,25.84
12/7/2012,25.25
13/07/12,25.92
16/07/12,25.97
17/07/12,26.16
18/07/12,26.86
19/07/12,27.05
20/07/12,26.57
23/07/12,25.83
24/07/12,25.71
25/07/12,25.43
26/07/12,25.72
27/07/12,26.25
30/07/12,26.14
31/07/12,25.99
1/8/2012,25.94
2/8/2012,25.75
3/8/2012,26.24
6/8/2012,26.42
7/8/2012,26.69
8/8/2012,26.75
9/8/2012,26.9
10/8/2012,26.83
13/08/12,26.8
14/08/12,26.75
15/08/12,26.81
16/08/12,27.33
17/08/12,27.43
20/08/12,27.29
21/08/12,27.35
22/08/12,27.12
23/08/12,26.87
24/08/12,27.13
27/08/12,27.25
28/08/12,27.2
29/08/12,27.21
30/08/12,26.92
31/08/12,27.36
4/9/2012,26.98
5/9/2012,26.98
6/9/2012,27.83
7/9/2012,27.48
10/9/2012,27.28
11/9/2012,27.34
12/9/2012,27.33
13/09/12,27.47
14/09/12,27.71
17/09/12,27.71
18/09/12,27.68
19/09/12,27.57
20/09/12,27.92
21/09/12,27.69
24/09/12,27.33
25/09/12,26.98
26/09/12,26.79
27/09/12,26.78
28/09/12,26.42
1/10/2012,26.18
2/10/2012,26.33
3/10/2012,26.51
4/10/2012,26.66
5/10/2012,26.5
8/10/2012,26.44
9/10/2012,26
10/10/2012,25.73
11/10/2012,25.7
12/10/2012,25.93
15/10/12,26.2
16/10/12,26.18
17/10/12,26.27
18/10/12,26.19
19/10/12,25.43
22/10/12,24.86
23/10/12,24.9
24/10/12,24.77
25/10/12,24.75
26/10/12,25.05
31/10/12,25.34
1/11/2012,26.21
2/11/2012,26.19
5/11/2012,26.31
6/11/2012,26.51
7/11/2012,25.82
8/11/2012,25.58
9/11/2012,25.6
12/11/2012,25.06
13/11/12,24.25
14/11/12,24.03
15/11/12,23.86
16/11/12,23.74
19/11/12,23.93
20/11/12,23.91
21/11/12,24.12
23/11/12,24.8
26/11/12,24.52
27/11/12,24.24
28/11/12,24.49
29/11/12,24.12
30/11/12,23.83
3/12/2012,23.66
4/12/2012,23.61
5/12/2012,23.87
6/12/2012,23.93
7/12/2012,23.69
10/12/2012,24.12
11/12/2012,24.46
12/12/2012,24.38
13/12/12,24.27
14/12/12,24
17/12/12,24.26
18/12/12,24.67
19/12/12,24.45
20/12/12,24.78
21/12/12,24.57
24/12/12,24.22
26/12/12,24.04
27/12/12,24.13
28/12/12,23.77
31/12/12,23.91
